user_id,type,day,hour,week
411741,1,10,21,Saturday
1552476,1,29,6,Thursday
1552476,1,29,6,Thursday
1552476,1,29,6,Thursday
742645,1,19,23,Monday
742645,1,19,23,Monday
1068082,1,3,23,Saturday
67623,1,12,17,Monday
914860,1,4,14,Sunday
914860,1,4,14,Sunday
914860,1,4,14,Sunday
914860,1,3,15,Saturday
914860,1,3,15,Saturday
931145,1,26,10,Monday
931145,1,26,10,Monday
931145,1,26,10,Monday
931145,1,26,10,Monday
931145,1,26,10,Monday
931145,1,26,10,Monday
931145,1,26,10,Monday
931145,1,26,10,Monday
931145,1,26,10,Monday
48912,1,13,18,Tuesday
48912,1,13,18,Tuesday
48912,1,13,18,Tuesday
48912,1,13,18,Tuesday
48912,1,13,18,Tuesday
102717,1,18,18,Sunday
102717,1,18,18,Sunday
102717,1,18,18,Sunday
1177411,1,24,5,Saturday
1105549,1,21,14,Wednesday
1105549,1,21,14,Wednesday
1105549,1,21,14,Wednesday
102717,1,1,16,Thursday
1359480,1,25,13,Sunday
780789,1,6,6,Tuesday
780789,1,6,6,Tuesday
780789,1,6,5,Tuesday
780789,1,6,5,Tuesday
742645,1,20,21,Tuesday
742645,1,21,8,Wednesday
914860,1,1,14,Thursday
914860,1,1,14,Thursday
1359480,1,18,8,Sunday
843174,1,23,1,Friday
1177411,1,3,16,Saturday
1105549,1,17,14,Saturday
1030562,1,26,14,Monday
48912,1,2,20,Friday
48912,1,2,20,Friday
48912,1,2,20,Friday
48912,1,2,20,Friday
48912,1,2,20,Friday
48912,1,2,20,Friday
48912,1,2,23,Friday
67623,1,15,20,Thursday
1552931,1,21,12,Wednesday
1552931,1,20,9,Tuesday
1552931,1,20,9,Tuesday
1552931,1,20,9,Tuesday
1552931,1,20,9,Tuesday
1552931,1,13,13,Tuesday
1156404,1,29,11,Thursday
976695,1,5,8,Monday
395399,1,20,12,Tuesday
395399,1,20,12,Tuesday
395399,1,20,10,Tuesday
931145,1,2,12,Friday
931145,1,2,12,Friday
931145,1,2,12,Friday
931145,1,2,12,Friday
188522,1,15,19,Thursday
188522,1,15,20,Thursday
188522,1,15,16,Thursday
589043,1,10,14,Saturday
589043,1,10,14,Saturday
589043,1,10,14,Saturday
589043,1,10,14,Saturday
1030562,1,22,13,Thursday
1483747,1,22,18,Thursday
1483747,1,22,18,Thursday
1483747,1,22,17,Thursday
1483747,1,22,17,Thursday
1349460,1,2,22,Friday
257808,1,1,10,Thursday
257808,1,1,10,Thursday
257808,1,1,10,Thursday
257808,1,1,10,Thursday
257808,1,1,10,Thursday
973840,1,23,18,Friday
1262813,1,5,17,Monday
202755,1,4,12,Sunday
202755,1,5,14,Monday
1165977,1,18,1,Sunday
1165977,1,18,1,Sunday
1165977,1,18,1,Sunday
1165977,1,18,1,Sunday
1165977,1,18,1,Sunday
742645,1,25,0,Sunday
742645,1,24,23,Saturday
742645,1,25,0,Sunday
742645,1,25,0,Sunday
742645,1,25,0,Sunday
742645,1,24,23,Saturday
742645,1,25,0,Sunday
742645,1,24,23,Saturday
742645,1,24,23,Saturday
742645,1,25,23,Sunday
1131915,1,18,18,Sunday
936213,1,8,16,Thursday
936213,1,8,16,Thursday
936213,1,8,16,Thursday
936213,1,8,16,Thursday
936213,1,8,16,Thursday
936213,1,8,16,Thursday
936213,1,8,16,Thursday
936213,1,8,16,Thursday
936213,1,8,16,Thursday
936213,1,8,16,Thursday
936213,1,8,16,Thursday
936213,1,8,16,Thursday
936213,1,8,16,Thursday
742645,1,31,0,Saturday
742645,1,31,0,Saturday
742645,1,31,0,Saturday
742645,1,31,0,Saturday
742645,1,31,0,Saturday
188522,1,8,19,Thursday
48912,1,2,18,Friday
48912,1,2,18,Friday
48912,1,2,18,Friday
48912,1,2,18,Friday
48912,1,2,18,Friday
48912,1,6,15,Tuesday
48912,1,6,15,Tuesday
48912,1,6,15,Tuesday
48912,1,6,15,Tuesday
125241,1,6,23,Tuesday
973840,1,7,13,Wednesday
973840,1,7,13,Wednesday
973840,1,7,13,Wednesday
973840,1,7,13,Wednesday
973840,1,7,14,Wednesday
973840,1,7,13,Wednesday
973840,1,7,13,Wednesday
973840,1,7,13,Wednesday
973840,1,7,14,Wednesday
973840,1,7,14,Wednesday
973840,1,7,14,Wednesday
973840,1,7,13,Wednesday
973840,1,7,14,Wednesday
973840,1,7,14,Wednesday
973840,1,7,13,Wednesday
973840,1,7,14,Wednesday
973840,1,7,15,Wednesday
973840,1,7,14,Wednesday
973840,1,7,15,Wednesday
973840,1,7,14,Wednesday
973840,1,7,14,Wednesday
973840,1,7,15,Wednesday
1068082,1,5,16,Monday
1399451,1,14,0,Wednesday
1399451,1,14,11,Wednesday
1156404,1,25,3,Sunday
1455298,1,14,13,Wednesday
1455298,1,14,13,Wednesday
1455298,1,11,7,Sunday
246245,1,31,14,Saturday
1507873,1,2,23,Friday
1549538,1,4,5,Sunday
1549538,1,11,9,Sunday
1549538,1,4,5,Sunday
1549538,1,4,5,Sunday
1549538,1,4,5,Sunday
202027,1,22,22,Thursday
202027,1,22,22,Thursday
202027,1,22,22,Thursday
202027,1,12,16,Monday
202027,1,14,20,Wednesday
202027,1,14,20,Wednesday
202027,1,18,17,Sunday
202027,1,18,18,Sunday
202027,1,5,14,Monday
934149,1,11,20,Sunday
934149,1,11,20,Sunday
934149,1,1,1,Thursday
934149,1,1,0,Thursday
934149,1,1,0,Thursday
934149,1,1,0,Thursday
1514378,1,18,23,Sunday
1514378,1,18,23,Sunday
1514378,1,18,23,Sunday
1514378,1,18,23,Sunday
1514378,1,18,23,Sunday
1273783,1,2,20,Friday
1273783,1,2,20,Friday
1273783,1,8,10,Thursday
1273783,1,11,20,Sunday
423957,1,9,0,Friday
423957,1,8,22,Thursday
1487832,1,16,0,Friday
1493145,1,4,21,Sunday
574519,1,23,23,Friday
574519,1,23,23,Friday
574519,1,23,23,Friday
574519,1,23,23,Friday
422652,1,19,0,Monday
422652,1,19,1,Monday
422652,1,19,0,Monday
422652,1,19,0,Monday
422652,1,19,0,Monday
422652,1,19,0,Monday
422652,1,19,0,Monday
422652,1,19,0,Monday
422652,1,19,0,Monday
1419317,1,29,16,Thursday
1419317,1,29,15,Thursday
1419317,1,29,13,Thursday
1419317,1,29,13,Thursday
1269900,1,17,17,Saturday
35916,1,2,7,Friday
1516193,1,20,23,Tuesday
1516193,1,20,23,Tuesday
1516193,1,8,14,Thursday
1365946,1,20,18,Tuesday
977997,1,11,15,Sunday
977997,1,11,15,Sunday
977997,1,11,15,Sunday
977997,1,11,15,Sunday
977997,1,23,11,Friday
1516193,1,17,3,Saturday
1516193,1,17,3,Saturday
1516193,1,17,3,Saturday
1116958,1,2,16,Friday
1116958,1,2,16,Friday
1116958,1,2,16,Friday
1116958,1,2,16,Friday
1116958,1,26,0,Monday
1116958,1,26,0,Monday
1116958,1,26,0,Monday
1329582,1,20,9,Tuesday
1001126,1,6,10,Tuesday
1512846,1,7,6,Wednesday
1178563,1,17,10,Saturday
1090577,1,31,22,Saturday
722858,1,21,6,Wednesday
722858,1,26,11,Monday
722858,1,26,10,Monday
722858,1,26,6,Monday
722858,1,26,6,Monday
722858,1,26,6,Monday
722858,1,26,6,Monday
722858,1,13,6,Tuesday
1548394,1,17,7,Saturday
1548394,1,17,7,Saturday
1250501,1,23,21,Friday
1106555,1,15,23,Thursday
1106555,1,15,23,Thursday
1106555,1,18,23,Sunday
1106555,1,25,7,Sunday
124939,1,22,0,Thursday
124939,1,21,23,Wednesday
124939,1,21,23,Wednesday
124939,1,21,23,Wednesday
124939,1,21,10,Wednesday
124939,1,22,0,Thursday
124939,1,22,8,Thursday
124939,1,21,23,Wednesday
124939,1,21,23,Wednesday
124939,1,21,23,Wednesday
124939,1,21,23,Wednesday
124939,1,21,23,Wednesday
124939,1,21,13,Wednesday
124939,1,31,0,Saturday
124939,1,31,0,Saturday
124939,1,31,0,Saturday
124939,1,31,0,Saturday
124939,1,31,0,Saturday
124939,1,31,0,Saturday
122713,1,8,10,Thursday
122713,1,8,10,Thursday
100855,1,21,12,Wednesday
1338404,1,8,9,Thursday
1338404,1,12,8,Monday
1338404,1,8,8,Thursday
1338404,1,14,23,Wednesday
1338404,1,14,23,Wednesday
1338404,1,14,23,Wednesday
1338404,1,14,23,Wednesday
1338404,1,14,23,Wednesday
1338404,1,12,7,Monday
1338404,1,12,7,Monday
1338404,1,14,23,Wednesday
1338404,1,15,2,Thursday
1338404,1,14,23,Wednesday
1038616,1,4,20,Sunday
1038616,1,4,19,Sunday
1038616,1,4,20,Sunday
1038616,1,7,12,Wednesday
1307067,1,14,21,Wednesday
1307067,1,23,8,Friday
1307067,1,16,5,Friday
1307067,1,16,5,Friday
1307067,1,23,22,Friday
1307067,1,29,12,Thursday
1307067,1,29,12,Thursday
1307067,1,30,17,Friday
1307067,1,30,17,Friday
1307067,1,31,14,Saturday
1307067,1,19,18,Monday
1307067,1,12,22,Monday
1307067,1,12,22,Monday
1029663,1,21,16,Wednesday
241910,1,9,19,Friday
1536413,1,24,13,Saturday
1536413,1,29,12,Thursday
1536413,1,29,12,Thursday
1536413,1,29,12,Thursday
1536413,1,29,12,Thursday
1536413,1,29,12,Thursday
1536413,1,29,12,Thursday
1536413,1,29,12,Thursday
1536413,1,22,0,Thursday
1536413,1,22,8,Thursday
1536413,1,22,8,Thursday
1536413,1,20,8,Tuesday
1536413,1,22,14,Thursday
690094,1,30,9,Friday
690094,1,30,9,Friday
690094,1,30,9,Friday
690094,1,30,9,Friday
690094,1,30,9,Friday
690094,1,30,9,Friday
690094,1,30,9,Friday
690094,1,30,9,Friday
690094,1,30,9,Friday
690094,1,30,9,Friday
690094,1,30,9,Friday
690094,1,30,9,Friday
690094,1,30,9,Friday
690094,1,30,9,Friday
690094,1,30,9,Friday
690094,1,30,9,Friday
1357426,1,22,13,Thursday
1357426,1,22,13,Thursday
1357426,1,22,13,Thursday
1357426,1,22,13,Thursday
644731,1,19,12,Monday
644731,1,19,12,Monday
644731,1,23,15,Friday
1454613,1,13,19,Tuesday
1454613,1,13,19,Tuesday
1454613,1,13,19,Tuesday
1454613,1,13,19,Tuesday
1454613,1,14,20,Wednesday
1454613,1,14,20,Wednesday
1454613,1,22,19,Thursday
1454613,1,24,15,Saturday
584756,1,29,11,Thursday
584756,1,29,11,Thursday
584756,1,29,11,Thursday
584756,1,29,11,Thursday
584756,1,29,12,Thursday
1415933,1,23,16,Friday
1415933,1,23,16,Friday
1415933,1,23,16,Friday
1415933,1,24,7,Saturday
1415933,1,10,13,Saturday
1415933,1,10,13,Saturday
1415933,1,1,9,Thursday
1415933,1,1,9,Thursday
1415933,1,1,9,Thursday
1415933,1,1,9,Thursday
471860,1,10,15,Saturday
471860,1,10,15,Saturday
471860,1,10,15,Saturday
471860,1,10,15,Saturday
977157,1,29,16,Thursday
977157,1,29,16,Thursday
977157,1,29,16,Thursday
977157,1,29,16,Thursday
977157,1,29,16,Thursday
977157,1,29,16,Thursday
977157,1,29,16,Thursday
977157,1,29,16,Thursday
977157,1,29,16,Thursday
977157,1,29,16,Thursday
977157,1,29,16,Thursday
977157,1,20,14,Tuesday
1112156,1,8,3,Thursday
1112156,1,8,3,Thursday
1112156,1,8,3,Thursday
1112156,1,8,3,Thursday
1112156,1,8,3,Thursday
1112156,1,8,3,Thursday
1112156,1,8,3,Thursday
1112156,1,8,3,Thursday
1112156,1,8,3,Thursday
1112156,1,8,3,Thursday
1112156,1,8,3,Thursday
1112156,1,8,3,Thursday
1112156,1,8,3,Thursday
1112156,1,8,3,Thursday
1112156,1,8,18,Thursday
786467,1,23,22,Friday
1540772,1,16,10,Friday
958904,1,29,17,Thursday
958904,1,30,16,Friday
1501081,1,8,9,Thursday
1501081,1,8,10,Thursday
1238243,1,26,18,Monday
167629,1,24,18,Saturday
167629,1,24,18,Saturday
167629,1,24,18,Saturday
167629,1,24,18,Saturday
167629,1,24,18,Saturday
1414370,1,21,22,Wednesday
1423444,1,30,15,Friday
1423444,1,30,15,Friday
1423444,1,30,15,Friday
1423444,1,30,15,Friday
1423444,1,30,15,Friday
1423444,1,30,15,Friday
1423444,1,30,15,Friday
1423444,1,30,15,Friday
1423444,1,30,15,Friday
71271,1,13,8,Tuesday
71271,1,13,8,Tuesday
71271,1,13,8,Tuesday
71271,1,13,8,Tuesday
71271,1,13,8,Tuesday
1546226,1,23,22,Friday
1546226,1,16,10,Friday
1546226,1,16,10,Friday
1546226,1,16,10,Friday
440062,1,23,8,Friday
440062,1,23,8,Friday
440062,1,23,7,Friday
440062,1,23,8,Friday
440062,1,23,7,Friday
1457300,1,4,7,Sunday
1457300,1,4,7,Sunday
1457300,1,4,8,Sunday
1457300,1,4,7,Sunday
1457300,1,4,7,Sunday
1457300,1,4,7,Sunday
1457300,1,4,7,Sunday
1457300,1,4,7,Sunday
1457300,1,4,7,Sunday
1475830,1,1,15,Thursday
699412,1,2,21,Friday
699412,1,2,21,Friday
699412,1,2,20,Friday
699412,1,2,20,Friday
699412,1,2,20,Friday
1362148,1,17,10,Saturday
1336295,1,17,13,Saturday
302477,1,17,11,Saturday
1509055,1,1,17,Thursday
739744,1,22,15,Thursday
739744,1,22,15,Thursday
1030970,1,15,6,Thursday
1030970,1,15,6,Thursday
1030970,1,15,6,Thursday
1030970,1,15,6,Thursday
1030970,1,15,6,Thursday
1030970,1,14,17,Wednesday
1030970,1,14,17,Wednesday
1030970,1,14,17,Wednesday
1030970,1,14,17,Wednesday
224229,1,8,10,Thursday
224229,1,8,10,Thursday
224229,1,8,10,Thursday
224229,1,8,10,Thursday
224229,1,8,10,Thursday
342046,1,18,12,Sunday
342046,1,24,9,Saturday
342046,1,24,9,Saturday
342046,1,24,9,Saturday
234016,1,5,14,Monday
234016,1,5,14,Monday
234016,1,5,14,Monday
234016,1,5,14,Monday
326426,1,14,16,Wednesday
326426,1,14,19,Wednesday
326426,1,9,21,Friday
326426,1,9,21,Friday
326426,1,9,21,Friday
326426,1,10,21,Saturday
326426,1,6,17,Tuesday
889258,1,2,12,Friday
889258,1,4,16,Sunday
889258,1,2,12,Friday
889258,1,31,6,Saturday
410468,1,29,16,Thursday
